"thrush","cover","elevation","loc.x","loc.y"
0,9.5,440,-163862.29247,300274.56395
1,8.6,465,-158660.50511,300159.29925
1,13.1,441,-163966.60407,295649.40418
1,9.6,485,-158761.50163,295534.04969
1,7.8,407,-153360.96089,304672.85382
0,8,437,-148162.43543,304565.19647
1,8.4,448,-153458.64024,300047.54829
1,6.6,411,-148256.6787,299940.09278
0,13.1,466,-153556.31565,295422.22686
0,3.3,468,-148350.9434,295314.40089
0,20.5,363,-179695.85333,291388.09373
0,11.6,404,-179810.08652,286763.16742
0,11.4,377,-179924.2782,282138.34145
1,10.9,421,-174487.66396,291261.24288
1,10.5,416,-169279.43263,291138.22989
0,13.8,386,-174598.60191,286636.23874
0,12.9,412,-169386.98026,286513.14517
0,17.3,380,-174709.53409,282011.23045
1,12.1,381,-169494.68597,281888.06594
1,27.8,431,-164070.99982,291019.05151
1,16.3,465,-158862.61133,290903.50697
0,21.6,437,-164175.39085,286393.89522
1,10.4,460,-158963.60506,286278.2656
1,34.8,440,-164279.631,281768.73509
1,12.6,439,-159064.60854,281653.02409
0,23.5,441,-153654.10554,290791.59843
0,16.3,454,-148445.62807,290683.69492
0,23.7,424,-153751.78791,286166.26843
1,12.4,419,-148539.87419,286058.56672
0,32.7,387,-153849.5329,281541.13119
1,8.9,425,-148634.06241,281433.06502
1,24,535,-142417.20688,332225.08967
0,15.7,502,-137238.32965,332125.20549
0,25.5,483,-142508.19492,327599.78419
1,15,452,-137326.04844,327499.75281
0,14.4,444,-142599.29483,322974.37424
1,12.6,488,-137413.76345,322874.2639
0,18.3,465,-132059.39099,332028.8515
0,14.9,478,-126880.41332,331936.28057
0,13.1,452,-132143.7931,327403.32488
1,10.9,472,-126961.46646,327310.76646
0,14.4,481,-132228.19328,322777.76617
1,11.8,490,-127042.54991,322685.13599
1,12.3,478,-121701.32512,331847.376
1,9.1,511,-116522.13768,331762.22198
1,18.1,497,-121779.07207,327221.90631
1,14.1,521,-116596.61842,327136.59656
1,9.1,519,-121856.83981,322596.20739
1,16.6,484,-116671.05884,322510.82443
0,11.3,467,-111342.98996,331680.81118
1,30.7,524,-111414.109,327054.99888
1,8,515,-111485.22212,322429.15246
1,36.4,485,-142690.3667,318343.6463
1,13.9,511,-137501.58001,318243.4626
0,30.8,468,-142781.42923,313718.2957
1,7,496,-137589.29882,313617.94617
0,24.4,439,-142872.60296,309092.49187
1,4.2,485,-137677.01391,308992.40926
1,28.9,514,-132312.68919,318146.89551
1,3,477,-127123.69982,318054.11085
1,27.9,481,-132397.09138,313521.30519
1,4.8,509,-127204.82227,313428.37677
1,19.5,512,-132481.4935,308895.69887
1,5.8,512,-127285.93414,308802.78831
1,11.4,501,-121934.7257,317965.11468
0,16.6,473,-116745.58909,317879.73993
1,10.4,465,-122012.46511,313339.31109
1,19.1,452,-116820.03341,313253.93702
1,27.8,491,-122090.19768,308713.65372
1,16.9,522,-116894.47668,308628.12482
1,31.4,432,-111556.42692,317797.99372
1,10.3,515,-111627.54379,313172.11875
1,26.1,518,-111698.66175,308546.23154
1,10.7,463,-142963.48377,304461.60006
1,24.4,490,-137764.83108,304361.44128
1,13.8,462,-143054.64645,299836.34513
0,19.3,470,-137852.54784,299735.75116
0,13.1,426,-143145.79929,295210.57032
0,25.1,446,-137940.25884,295110.16931
1,15.9,476,-132565.98443,304264.65037
1,21.6,469,-127367.03686,304171.6628
1,10.3,451,-132650.37313,299638.87431
1,16.8,476,-127448.23799,299546.02556
1,6.8,438,-132734.75785,295013.20813
1,26.3,457,-127529.06915,294920.27656
1,6.7,485,-122168.18335,304082.68147
1,27.3,491,-116968.99054,303997.3117
1,12.1,484,-122245.68488,299457.18966
1,35,432,-117043.41661,299371.76763
1,27.9,483,-122323.65453,294831.38118
1,22.7,450,-117117.84194,294745.8997
1,21.4,444,-111769.85906,303915.35311
1,25.1,468,-111840.97444,299289.76239
1,22.2,453,-111912.0869,294663.84844
0,19.9,463,-143236.72885,290579.77653
1,11.4,443,-138028.0673,290479.29419
0,5.4,459,-143327.86265,285954.5699
1,16.6,449,-138115.77421,285853.71615
0,9.6,445,-143419.06863,281328.95968
1,9.6,432,-138203.48311,281228.44818
1,17.3,486,-132819.23449,290382.24475
1,11.9,482,-127610.44209,290289.23116
1,17.6,485,-132903.61726,285756.57956
1,2.1,476,-127691.37937,285663.77637
0,22.9,454,-132987.99827,281131.22445
1,5.8,471,-127772.32327,281038.03548
0,20.7,488,-122401.25406,290200.26119
0,13.9,430,-117192.35408,290114.72905
1,33,478,-122479.09648,285574.73607
1,17.6,427,-117266.78327,285488.84782
1,37.4,446,-122556.89255,280948.77273
1,11.3,470,-117341.2065,280862.97938
1,22.8,449,-111983.28715,290032.62229
1,11.3,484,-112054.40144,285406.69378
1,29.6,459,-112125.51868,280780.77045
1,39.4,489,-106163.83746,331603.00637
1,43.6,514,-106231.48192,326977.24029
1,42,505,-106299.38083,322351.32858
0,24.4,462,-100984.33094,331528.8464
0,35.1,438,-95804.75558,331458.44367
1,18.5,525,-101048.88364,326903.2189
0,32.1,443,-95866.00103,326832.66225
1,32.1,490,-101113.25879,322277.25226
1,21.8,459,-95927.1756,322206.66543
1,22.7,508,-90625.25179,331391.69289
1,13.4,606,-85445.66727,331328.78413
1,6.3,505,-90683.11766,326765.68149
1,14.7,589,-85500.10862,326702.6261
1,32.3,528,-90740.98929,322139.65196
1,25.7,596,-85554.75973,322076.34179
1,41.2,519,-80265.95221,331269.56773
1,14.2,516,-75086.23456,331213.72698
1,30.2,527,-80317.29335,326643.49688
1,12,550,-75134.18112,326587.8487
1,31.5,496,-80368.46903,322017.17635
1,9.5,492,-75182.13022,321961.71646
1,24.3,424,-106367.1963,317720.24109
1,9.4,457,-106434.94726,313094.16143
0,20,466,-106502.79486,308468.06494
1,14.4,441,-101177.8634,317646.11286
1,19.1,426,-95988.4174,317575.34826
1,15.7,480,-101242.39588,313019.98103
1,21,477,-96049.59684,312949.31342
1,21.7,542,-101306.8879,308393.98772
1,27.8,508,-96110.7642,308323.57174
1,13.8,500,-90798.92634,317508.30265
1,43,510,-85609.38411,317444.95961
1,11.4,454,-90856.79596,312882.22767
1,30.1,571,-85663.95672,312818.85319
1,7.1,479,-90914.66359,308256.44678
1,19,537,-85718.51196,308193.03986
1,9.7,475,-80419.79108,317385.76074
1,15.4,579,-75230.13081,317330.26507
1,7.3,576,-80471.0428,312759.62655
1,9.1,512,-75278.08263,312704.09539
1,11.3,567,-80522.24611,308133.63087
1,10.6,549,-75326.03157,308077.91519
0,14.9,526,-106570.71949,303837.25549
1,7.6,498,-106638.41696,299211.6171
1,20,485,-106706.27509,294585.51544
1,4.5,525,-101371.27532,303763.13013
1,53.3,530,-96172.01452,303692.54125
1,5.1,550,-101435.92803,299137.29095
1,37,564,-96233.2133,299066.49979
1,1.2,525,-101500.38366,294511.13722
1,47.7,521,-96294.40901,294440.45007
1,3.3,506,-90972.60504,303625.37513
1,9.4,504,-85773.14743,303561.93739
1,19.8,575,-91030.4932,298999.29662
1,12.6,488,-85827.73376,298935.82754
1,10.4,536,-91088.3891,294373.21501
1,19.6,486,-85882.31914,294309.7066
1,11.4,546,-80573.64823,303502.40708
1,8.3,565,-75374.04502,303446.57352
1,13.1,536,-80624.90343,298876.33026
1,11.1,541,-75422.01174,298820.52732
1,14.4,524,-80676.18219,294250.17563
1,14.8,546,-75469.97997,294194.34114
1,14,501,-106774.1624,289954.2421
1,11.7,453,-106842.01369,285328.3991
1,20.1,457,-106909.77116,280702.55319
0,13.5,475,-101564.95338,289879.82144
1,26.5,461,-96355.67017,289809.09391
1,15.4,462,-101629.40305,285253.9348
1,26,522,-96416.86684,285183.03737
1,11.4,480,-101693.94656,280628.04673
1,24.5,532,-96478.06257,280556.98539
1,21,491,-91146.34652,289741.82925
1,22.5,528,-85936.97088,289678.29065
1,45.2,529,-91204.23264,285115.73338
1,43.2,509,-85991.55717,285052.16407
1,44.1,532,-91262.1266,280489.65013
1,27.2,523,-86046.1707,280426.12585
1,42,511,-80727.51952,289618.72427
1,19.4,522,-75518.00182,289562.85093
1,23.5,557,-80778.80011,284992.57063
1,42.7,559,-75565.97487,284936.65794
1,19.1,528,-80830.06824,280366.55101
1,27.3,552,-75613.94656,280310.58683
1,11.5,578,-69906.43037,331161.70578
1,22,621,-64726.57248,331113.66485
1,11.9,623,-69951.11562,326535.68228
1,23.2,634,-64768.11281,326487.49609
1,9.3,579,-69995.75408,321909.52166
1,20.6,628,-64809.23769,321861.30572
1,7,640,-59546.94267,331069.48552
1,19.5,546,-54366.96027,331028.71825
1,13.9,578,-59584.75941,326443.29449
1,22,524,-54401.68151,326402.51211
1,11.4,595,-59622.99151,321817.08011
1,22.9,578,-54436.40465,321776.27953
1,7.7,519,-49187.05855,330991.38674
1,27.9,606,-44007.13398,330957.76572
1,10.7,570,-49218.4738,326365.1551
1,35.2,599,-44035.24021,326331.51761
1,11.1,614,-49249.88795,321738.90548
1,20.8,614,-44063.34834,321705.2431
1,16.1,582,-38827.1863,330928.43175
1,13.7,552,-38851.99081,326302.16726
1,15,586,-38876.7883,321675.87245
1,11.1,600,-70040.44503,317278.03362
1,12.2,615,-64850.72669,317229.52078
1,13.6,564,-70085.08716,312651.82769
1,14,615,-64892.15857,312603.57205
1,9,530,-70129.7294,308025.61903
1,13.3,565,-64933.39079,307977.62412
1,21,635,-59660.95963,317185.27513
1,11.7,587,-54471.15787,317144.72718
1,13.2,630,-59698.87877,312559.30619
1,17.7,629,-54505.88291,312518.45687
1,9.1,584,-59737.00596,307933.34663
1,24.5,627,-54540.59506,307892.18937
1,10.7,645,-49281.34102,317107.33656
1,41,584,-44091.59546,317073.94776
1,6.1,636,-49312.75217,312481.04932
1,30.1,649,-44119.49009,312447.65024
1,6.1,622,-49344.16623,307854.75166
1,15.1,597,-44147.80984,307821.32647
1,2.2,527,-38901.50982,317044.55551
1,23.3,568,-38926.52461,312418.24706
1,4.4,610,-38951.11423,307791.90868
1,18.4,562,-70174.42944,303394.24709
1,3.3,576,-64974.74712,303346.16791
1,20.2,571,-70219.08571,298768.17044
1,3.7,608,-65016.03618,298719.76092
1,28.2,566,-70263.74532,294141.95333
1,6.8,611,-65057.55715,294093.51387
1,33.1,617,-59775.08467,303301.81377
1,9.7,631,-54575.36912,303260.63781
1,17.4,616,-59813.20971,298675.31753
1,12.2,635,-54610.09765,298634.36923
1,22.1,612,-59851.07684,294049.03796
1,8.9,589,-54644.82538,294008.06961
1,20.7,635,-49375.6218,303223.18027
1,7,585,-44175.83672,303189.9948
1,14.4,639,-49407.03699,298596.90383
1,8.8,642,-44203.95935,298563.67531
1,17.6,606,-49438.46419,293970.58227
1,8.9,611,-44232.06842,293937.33266
1,19.4,619,-38976.04224,303160.53215
1,8.3,632,-39000.84663,298534.1726
1,19,646,-39025.64419,293907.81332
1,6.1,586,-70308.45854,289510.43166
1,23.7,594,-65098.8641,289462.19888
1,4.9,593,-70353.11223,284884.20145
1,32.3,578,-65140.13282,284835.71353
1,6.7,527,-70397.77349,280258.09765
1,37.3,535,-65181.54425,280209.29035
1,7.4,577,-59889.24279,289417.69332
1,9,557,-54679.59508,289376.46543
1,9.3,549,-59927.3709,284791.1877
1,10.6,540,-54714.32567,284750.15957
1,16.9,516,-59965.32561,280164.6784
1,7.9,513,-54749.05762,280123.85692
1,17,596,-49469.91775,289338.95705
1,11.7,584,-44260.11988,289305.4337
1,15.3,545,-49501.34196,284712.62905
1,15.1,622,-44288.32859,284678.83361
1,11.1,588,-49532.76025,280086.31119
1,17.2,625,-44316.44049,280052.49368
1,12.5,655,-39050.57265,289275.8907
1,12.3,657,-39075.27838,284649.26521
1,12.1,567,-39100.04592,280022.80418
1,9.4,492,-33647.24088,330902.81337
1,12.7,500,-33668.72598,326276.53274
1,12,508,-33690.21804,321650.22131
1,16,514,-28467.27196,330880.33
1,15.7,511,-23287.29136,330862.15568
1,15.1,547,-28485.45274,326254.0361
1,25.6,618,-23302.15935,326235.85079
1,13.8,508,-28503.6311,321627.71621
1,27.4,571,-23317.02389,321609.52188
1,13.9,501,-18107.29823,330847.69151
1,13.7,526,-12927.293,330836.33096
1,15.2,551,-18118.85533,326221.38013
1,14.4,529,-12935.55416,326210.02355
1,17.3,629,-18130.41832,321595.04019
1,15.1,631,-12943.80464,321583.68472
1,13,596,-7747.28458,330828.67379
1,23.5,627,-2567.26988,330824.73021
1,16.5,579,-7752.2371,326202.37799
1,17.8,636,-2568.91575,326198.43564
1,16.4,580,-7757.18962,321576.0483
1,12.9,600,-2570.57042,321572.11512
1,8.9,512,-33711.73253,317018.60586
1,15.5,544,-33733.21574,312392.27237
1,9.3,556,-33754.71063,307765.92074
1,9.8,492,-28521.82794,316996.092
1,19.1,555,-23331.80065,316977.58126
0,6.9,614,-28540.00861,312369.7344
0,18.2,518,-23346.89203,312351.2158
1,5.8,615,-28558.18257,307743.35611
0,19.5,569,-23361.53525,307724.82826
1,3.7,610,-18142.1044,316963.09606
1,8.9,656,-12952.07322,316952.04206
1,3.4,567,-18153.43974,312336.73392
1,14.6,580,-12960.32639,312325.68113
0,4.9,575,-18165.22183,307710.34715
1,20.4,557,-12968.58557,307699.28899
1,4.3,633,-7762.14487,316944.39881
1,13.9,664,-2572.21808,316940.47479
1,3.9,640,-7767.10321,312318.03951
1,22.8,639,-2573.86395,312314.11651
1,8.9,618,-7772.05244,307691.65504
1,22.6,600,-2575.51619,307687.7413
1,9.1,550,-33776.22378,303134.2509
1,17.2,571,-33797.70839,298507.86998
1,14.2,613,-33819.19877,293881.49084
1,7.8,621,-28576.3845,303111.67634
1,16.9,632,-23376.63776,303093.13451
1,19.2,642,-28594.55508,298485.27792
1,14.7,633,-23391.2748,298466.71642
1,8.9,610,-28612.73189,293858.87971
1,8.7,596,-23406.35988,293840.29927
0,14.4,592,-18176.56302,303078.63758
1,7.9,647,-12976.83364,303067.5702
0,22.4,620,-18188.33405,298452.2046
1,9.6,648,-12985.05845,298441.12704
1,26.3,553,-18199.65071,293825.77057
1,11,594,-12993.28315,293814.68119
1,27.8,598,-7776.98593,303059.93491
1,7.2,638,-2577.13238,303056.0195
1,31.3,603,-7781.88756,298433.47279
1,7.2,611,-2578.72108,298429.54538
1,33.9,550,-7786.79545,293807.00716
1,4.7,540,-2580.30061,293803.05964
1,17,629,-33840.7081,289249.80004
1,11.1,541,-33862.19846,284623.40712
1,19,559,-33883.72049,279996.92832
1,15.7,571,-28630.9272,289227.17735
1,17.7,551,-23421.12602,289208.88819
0,17.3,494,-28649.09853,284600.76457
1,26.5,510,-23435.98675,284582.46438
0,19.8,491,-28667.27575,279974.36537
1,18.2,458,-23450.7319,279955.74127
1,13.9,495,-18211.31792,289194.33662
1,11.3,551,-13001.51702,289182.92353
1,11.1,482,-18222.86511,284567.89672
1,14.4,561,-13009.74163,284556.46365
1,12.3,433,-18234.5246,279941.15851
1,12.2,534,-13017.93216,279929.92515
1,9.2,563,-7791.70588,289175.23719
0,12.8,536,-2581.89072,289171.26979
1,14.7,557,-7796.60782,284548.75728
1,11.6,499,-2583.47878,284544.7777
1,18.6,516,-7801.55026,279922.19884
1,11.4,488,-2585.02666,279918.20713
1,16.9,675,2612.76029,330824.9358
1,12.3,614,7792.79849,330828.8303
1,10.5,650,2614.42091,326198.63884
1,8.6,665,7797.78287,326202.52723
0,9,677,2616.09012,321572.31584
0,11.1,682,7802.76724,321576.19031
1,13.1,592,12972.8549,330836.03968
1,14.8,676,18152.86115,330846.95247
1,16.3,614,12981.14143,326209.65618
0,14.5,640,18164.48483,326220.49615
1,26.1,685,12989.44101,321583.30529
1,10.2,673,18176.11412,321594.13941
1,31.9,665,23332.82592,330862.32685
0,17.1,616,28512.7987,330881.44861
1,11.4,655,23347.79658,326235.93291
0,13.6,589,28531.06568,326255.11797
0,9.9,687,23362.73987,321609.579
1,9.2,665,28549.33036,321628.76139
0,13.3,592,33692.72332,330903.44873
1,19,563,33714.31963,326277.16667
1,21.8,562,33735.90575,321650.80692
1,25.8,675,2617.75255,316940.67314
0,13.7,704,7807.75448,316944.53367
1,16.7,650,2619.41317,312314.31247
1,11.3,705,7812.74474,312318.16709
1,13.4,616,2621.07995,307687.93478
1,18.9,693,7817.68822,307691.87529
1,22.5,706,12997.75875,316951.65062
1,16.8,693,18187.59433,316962.90174
1,21.7,715,13006.06098,312325.27761
0,16.9,618,18199.53748,312336.5238
1,17,690,13014.36895,307699.07337
1,11.5,641,18210.88134,307710.21932
1,23.5,676,23377.86372,316978.33825
0,8.9,667,28567.61375,316997.10047
1,10.4,601,23392.49248,312351.94561
1,22.9,649,28585.88101,312370.70619
1,18.2,599,23407.74016,307725.57815
0,27.6,635,28604.15753,307744.33434
1,15.8,619,33757.5145,317019.14299
1,16.7,589,33779.09195,312392.76121
1,24.4,567,33800.68124,307766.36125
1,15.8,656,2622.73657,303056.31326
1,37,711,7822.77515,303060.35118
1,20,596,2624.50389,298429.93723
1,40.2,666,7827.76525,298433.9834
1,25.6,539,2626.22465,293803.44957
1,36,627,7832.7991,293807.51205
1,16.8,672,13022.69656,303067.54628
1,19.9,646,18222.76958,303078.69789
1,20.6,679,13031.03188,298441.09368
1,21,607,18234.152,298452.29379
1,14.7,645,13039.36721,293814.63843
1,31.6,631,18246.0641,293825.84753
1,9.7,602,23422.43345,303094.00806
1,26.8,546,28622.40517,303112.72001
1,5.8,608,23437.63692,298467.62239
1,35.6,627,28640.66472,298486.35756
1,3.1,617,23452.30464,293841.19093
1,16.6,645,28658.91469,293859.9523
1,6.9,519,33822.27121,303134.75381
1,24.2,600,33843.81858,298508.45724
1,22.7,662,33865.37241,293882.07638
1,32.9,608,2627.95623,289171.65795
1,17.9,589,7837.83573,289175.73649
1,18.9,542,2629.68602,284545.16396
1,10.6,565,7842.86387,284549.25101
1,19.4,547,2631.37558,279918.59147
0,5.3,572,7847.91954,279922.7219
1,21.8,573,13047.71197,289182.87125
1,5.1,541,18257.57876,289193.73304
1,21.7,548,13056.04751,284556.40202
1,4.9,546,18269.22153,284567.27983
1,19.4,574,13064.36208,279929.88914
1,5.2,504,18280.72432,279941.19482
1,13.6,582,23467.40558,289209.10153
1,10.9,594,28677.18319,289228.2429
1,8,545,23482.34917,284582.66522
1,12.2,568,28695.42769,284601.82293
1,4.2,530,23497.42578,279956.59745
1,25,589,28713.67816,279975.41656
1,11.6,624,33886.94525,289250.38384
1,12.6,537,33908.49892,284623.98918
1,21.6,585,33930.02132,279997.67419
1,10.1,553,38872.66998,330929.93765
0,5.9,513,38897.55846,326303.66001
0,3.7,554,38922.45774,321677.30518
0,32.8,495,44052.55426,330960.1716
0,6.9,505,49232.43269,330993.32137
0,30.8,481,44080.76786,326333.86149
0,16.5,519,49263.95907,326367.0353
1,19.5,524,44108.98352,321707.52502
0,13.3,529,49295.48471,321740.73131
1,24.7,429,54412.28887,331030.18163
1,8.3,420,59592.01886,331071.02065
0,13.8,538,54447.12521,326403.92866
1,18.3,503,59630.36117,326444.79349
0,18.7,519,54481.96362,321777.64926
0,7.3,524,59668.30549,321818.53695
0,28.2,414,64772.0479,331115.78031
1,9.5,397,69951.75423,331163.81968
1,29.4,501,64813.29759,326489.58169
1,16.3,459,69996.54156,326537.77765
1,23.5,464,64854.94544,321863.36916
1,12.3,396,70041.2861,321911.60963
1,8.4,585,38947.52894,317045.27595
1,20.4,665,38972.15689,312418.90517
1,20.8,582,38997.32137,307792.55218
0,21.8,594,44137.09831,317075.51256
1,22.3,544,49327.04941,317109.1079
1,14.6,648,44165.58952,312449.15625
1,28.1,617,49358.57227,312482.76626
1,12.4,602,44193.54395,307822.81038
1,28,490,49390.09817,307856.41414
0,17.1,522,54516.8325,317146.05007
1,60.1,464,59706.59172,317187.23885
1,22.8,572,54551.67294,312519.73292
1,23.4,471,59744.83877,312560.68757
1,17.7,460,54586.53347,307893.3328
1,17.1,455,59782.8874,307933.97051
0,31.6,490,64896.34272,317232.10076
1,28.8,558,70086.08354,317280.11414
0,17.5,474,64937.69168,312605.57938
1,31.5,499,70130.83216,312653.90081
0,67.6,495,64979.21761,307978.97636
0,31.3,469,70175.58085,308027.6847
1,56.6,541,39022.1167,303160.58032
1,42.5,587,39046.95823,298534.26732
1,26.1,653,39071.80944,293907.91169
1,44.5,510,44221.9089,303190.76287
1,25.8,527,49421.62363,303224.66404
1,26.8,532,44250.04177,298564.37423
0,35,553,49453.06815,298598.25428
1,14.9,484,44278.19274,293938.04855
1,38.8,536,49484.52356,293971.97129
0,17.2,531,54621.30837,303261.61672
0,16.1,499,59821.02641,303302.28827
0,18,518,54656.08431,298635.32258
0,12.1,547,59858.99049,298676.29463
